Starting Generator Model Training at Sat Apr 25 07:01:44 PM CDT 2026
Model: gan
Epochs: 20
Batch Size: 64
Learning Rate: 0.002
Data Fraction: 0.25
Process ID: 3030256
======================================================
Python Process PID: 3030270
2026-04-25 19:01:49,398 - INFO - Selected GPU: 1
2026-04-25 19:01:50,699 - INFO - Dataset size: 50649 images
2026-04-25 19:03:12,958 - INFO - Batch shape: torch.Size([64, 3, 64, 64])
2026-04-25 19:03:12,959 - INFO - Batch range: [0.00, 1.00]
2026-04-25 19:03:13,407 - INFO - Models and optimizers initialized
2026-04-25 19:03:13,407 - INFO - Starting GAN training...
Epoch [4/20] Batch [460/792] D_loss: 1.6934 G_loss: 0.6970
Epoch [4/20] Batch [470/792] D_loss: 1.6928 G_loss: 0.6882
Epoch [4/20] Batch [480/792] D_loss: 1.6933 G_loss: 0.6940
Epoch [4/20] Batch [490/792] D_loss: 1.6938 G_loss: 0.6993
Epoch [4/20] Batch [500/792] D_loss: 1.6926 G_loss: 0.6890
Epoch [4/20] Batch [510/792] D_loss: 1.6936 G_loss: 0.6915
Epoch [4/20] Batch [520/792] D_loss: 1.6930 G_loss: 0.7014
Epoch [4/20] Batch [530/792] D_loss: 1.6929 G_loss: 0.6904
Epoch [4/20] Batch [540/792] D_loss: 1.6934 G_loss: 0.6904
Epoch [4/20] Batch [550/792] D_loss: 1.6934 G_loss: 0.6994
Epoch [4/20] Batch [560/792] D_loss: 1.6930 G_loss: 0.6897
Epoch [4/20] Batch [570/792] D_loss: 1.6931 G_loss: 0.6936
Epoch [4/20] Batch [580/792] D_loss: 1.6933 G_loss: 0.6963
Epoch [4/20] Batch [590/792] D_loss: 1.6929 G_loss: 0.6914
Epoch [4/20] Batch [600/792] D_loss: 1.6931 G_loss: 0.6887
Epoch [4/20] Batch [610/792] D_loss: 1.6930 G_loss: 0.6985
Epoch [4/20] Batch [620/792] D_loss: 1.6929 G_loss: 0.6915
Epoch [4/20] Batch [630/792] D_loss: 1.6933 G_loss: 0.6915
Epoch [4/20] Batch [640/792] D_loss: 1.6931 G_loss: 0.6989
Epoch [4/20] Batch [650/792] D_loss: 1.6927 G_loss: 0.6896
Epoch [4/20] Batch [660/792] D_loss: 1.6933 G_loss: 0.6931
Epoch [4/20] Batch [670/792] D_loss: 1.6932 G_loss: 0.6976
Epoch [4/20] Batch [680/792] D_loss: 1.6927 G_loss: 0.6897
Epoch [4/20] Batch [690/792] D_loss: 1.6930 G_loss: 0.6944
Epoch [4/20] Batch [700/792] D_loss: 1.6936 G_loss: 0.6952
Epoch [4/20] Batch [710/792] D_loss: 1.6928 G_loss: 0.6873
Epoch [4/20] Batch [720/792] D_loss: 1.6929 G_loss: 0.6968
Epoch [4/20] Batch [730/792] D_loss: 1.6937 G_loss: 0.6959
Epoch [4/20] Batch [740/792] D_loss: 1.6930 G_loss: 0.6880
Epoch [4/20] Batch [750/792] D_loss: 1.6928 G_loss: 0.6966
Epoch [4/20] Batch [760/792] D_loss: 1.6933 G_loss: 0.6935
Epoch [4/20] Batch [770/792] D_loss: 1.6932 G_loss: 0.6886
Epoch [4/20] Batch [780/792] D_loss: 1.6928 G_loss: 0.6972
Epoch [4/20] Batch [790/792] D_loss: 1.6935 G_loss: 0.6937
Saving checkpoint at epoch 4...
Model saved to /home/sar0033/blindscrambler/scripts/models/models_gan_epoch_4.onnx
Epoch [5/20] Batch [0/792] D_loss: 1.6931 G_loss: 0.6920
Epoch [5/20] Batch [10/792] D_loss: 1.6932 G_loss: 0.6892
Epoch [5/20] Batch [20/792] D_loss: 1.6927 G_loss: 0.6982
Epoch [5/20] Batch [30/792] D_loss: 1.6931 G_loss: 0.6938
